姓名,選區,政黨
董保城,不分區,信心希望聯盟
陶君亮,不分區,信心希望聯盟
馮珮,不分區,信心希望聯盟
南岳君,不分區,信心希望聯盟
黃迺毓,不分區,信心希望聯盟
李莉娟,不分區,信心希望聯盟
吳振槖,桃園市第2選舉區,台灣獨立黨
鄭振源,桃園市第6選舉區,台灣未來黨
呂東杰,桃園市第6選舉區,綠黨社會民主黨聯盟
王寶萱,桃園市第1選舉區,綠黨社會民主黨聯盟
趙正宇,桃園市第6選舉區,無
賴立竹,桃園市第3選舉區,無
黃志浩,桃園市第5選舉區,無
黃志浩,桃園市第3選舉區,無
蕭家亮,桃園市第5選舉區,無
陳建閣,臺東縣選舉區,中國國民黨
劉櫂豪,臺東縣選舉區,民主進步黨
劉泳君,彰化縣第2選舉區,無
許永金,彰化縣第2選舉區,無
黃玉芬,彰化縣第2選舉區,無
張錦昆,彰化縣第4選舉區,中國國民黨
林滄敏,彰化縣第2選舉區,中國國民黨
鄭汝芬,彰化縣第3選舉區,中國國民黨
王惠美,彰化縣第1選舉區,中國國民黨
洪宗熠,彰化縣第3選舉區,民主進步黨
陳文彬,彰化縣第1選舉區,民主進步黨
黃秀芳,彰化縣第2選舉區,民主進步黨
陳素月,彰化縣第4選舉區,民主進步黨
陳朝容,彰化縣第3選舉區,親民黨
温國銘,彰化縣第2選舉區,勞工黨
張益勝,彰化縣第3選舉區,時代力量
張耀元,彰化縣第2選舉區,民國黨
洪遊江,彰化縣第3選舉區,自由台灣黨
鄭永金,新竹縣選舉區,無
黃秀龍,新竹縣選舉區,無
林為洲,新竹縣選舉區,中國國民黨
范振揆,新竹縣選舉區,中華統一促進黨
蘇雯英,新竹縣選舉區,健保免費連線
李宗華,新竹縣選舉區,軍公教聯盟黨
邱靖雅,新竹縣選舉區,民國黨
卓恩宗,新竹縣選舉區,信心希望聯盟
吳威志,雲林縣第2選舉區,中國國民黨
張鎔麒,雲林縣第1選舉區,中國國民黨
劉建國,雲林縣第2選舉區,民主進步黨
蘇治芬,雲林縣第1選舉區,民主進步黨
林富源,雲林縣第1選舉區,樹黨
張佳偉,雲林縣第2選舉區,樹黨
王煒婷,雲林縣第2選舉區,時代力量
邱崑龍,嘉義縣第1選舉區,無
